BSE Price,Company Name,NSE Price,Profit,Symbol,_id
1349.7,SBI Life Insurance Company Limited,1354.1,4.399999999999864,SBILIFE,64ce8ddd12b3542579deaf71
3067.6,Hero MotoCorp Limited,3069.95,2.349999999999909,HEROMOTOCO,64ce8ddd12b3542579deaf72
1266.6,Cipla Limited,1268.15,1.550000000000182,CIPLA,64ce8dde12b3542579deaf73
1205.3,Tech Mahindra Limited,1205.1,0.20000000000004547,TECHM,64ce8dde12b3542579deaf74
416.55,Wipro Limited,416.5,0.05000000000001137,WIPRO,64ce8dde12b3542579deaf75
7186.35,Bajaj Finance Limited,7203.85,17.5,BAJFINANCE,64ce8dde12b3542579deaf76
572.9,State Bank of India,573.7,0.8000000000000682,SBIN,64ce8ddf12b3542579deaf77
847.35,TATA CONSUMER PRODUCTS LIMITED,846,1.3500000000000227,TATACONSUM,64ce8ddf12b3542579deaf78
5082.55,LTIMindtree Limited,5086,3.449999999999818,LTIM,64ce8ddf12b3542579deaf79
1515.95,Bajaj Finserv Limited,1519.5,3.5499999999999545,BAJAJFINSV,64ce8de012b3542579deaf7a
952.6,Axis Bank Limited,953.2,0.6000000000000227,AXISBANK,64ce8de012b3542579deaf7b
2920.8,Titan Company Limited,2920.8,0,TITAN,64ce8de012b3542579deaf7c
980.5,ICICI Bank Limited,981,0.5,ICICIBANK,64ce8de012b3542579deaf7d
3373.25,Eicher Motors Limited,3373.85,0.599999999999909,EICHERMOT,64ce8de112b3542579deaf7e
5658,"Dr. Reddy's Laboratories Limited",5650,8,DRREDDY,64ce8de112b3542579deaf7f
9544,Maruti Suzuki India Limited,9540.05,3.9500000000007276,MARUTI,64ce8de112b3542579deaf80
5022.75,Apollo Hospitals Enterprise Limited,5022,0.75,APOLLOHOSP,64ce8de212b3542579deaf81
173.2,Oil & Natural Gas Corporation Limited,173.2,0,ONGC,64ce8de212b3542579deaf82
217.15,NTPC Limited,218.15,1,NTPC,64ce8de212b3542579deaf83
3346.25,Asian Paints Limited,3342,4.25,ASIANPAINT,64ce8de212b3542579deaf84
2632.95,Larsen & Toubro Limited,2635,2.050000000000182,LT,64ce8de312b3542579deaf85
1827.95,Kotak Mahindra Bank Limited,1830.5,2.5499999999999545,KOTAKBANK,64ce8de312b3542579deaf86
1650.85,HDFC Bank Limited,1649,1.849999999999909,HDFCBANK,64ce8de312b3542579deaf87
8159.1,UltraTech Cement Limited,8160,0.8999999999996362,ULTRACEMCO,64ce8de412b3542579deaf88
2564.5,Hindustan Unilever Limited,2562.95,1.550000000000182,HINDUNILVR,64ce8de412b3542579deaf89
645.45,HDFC Life Insurance Company Limited,647.2,1.75,HDFCLIFE,64ce8de412b3542579deaf8a
607.2,Tata Motors Limited,607.95,0.75,TATAMOTORS,64ce8de512b3542579deaf8b
1390.35,Infosys Limited,1389.25,1.099999999999909,INFY,64ce8de512b3542579deaf8c
3469.85,Tata Consultancy Services Limited,3469,0.849999999999909,TCS,64ce8de512b3542579deaf8d
4648.3,Bajaj Auto Limited,4649.9,1.5999999999994543,BAJAJ-AUTO,64ce8de512b3542579deaf8e
604.4,UPL Limited,604.15,0.25,UPL,64ce8de612b3542579deaf8f
1846.15,Grasim Industries Limited,1845,1.150000000000091,GRASIM,64ce8de612b3542579deaf90
452.45,ITC Limited,452.3,0.14999999999997726,ITC,64ce8de612b3542579deaf91
118.1,TATA Steel Limited,118.15,0.05000000000001137,TATASTEEL,64ce8de612b3542579deaf92
357.9,Bharat Petroleum Corporation Limited,357.95,0.05000000000001137,BPCL,64ce8de712b3542579deaf93
1404.05,IndusInd Bank Limited,1404.15,0.10000000000013642,INDUSINDBK,64ce8de712b3542579deaf94
2505.65,Reliance Industries Limited,2503.75,1.900000000000091,RELIANCE,64ce8de712b3542579deaf95
241.5,Power Grid Corporation of India Limited,241.25,0.25,POWERGRID,64ce8de812b3542579deaf96
884.85,Bharti Airtel Limited,884.25,0.6000000000000227,BHARTIARTL,64ce8de812b3542579deaf97
1140.9,HCL Technologies Limited,1140,0.900000000000091,HCLTECH,64ce8de812b3542579deaf98
22224.5,Nestle India Limited,22245.25,20.75,NESTLEIND,64ce8de812b3542579deaf99
1148.4,Sun Pharmaceutical Industries Limited,1149.25,0.849999999999909,SUNPHARMA,64ce8de912b3542579deaf9a
784.35,Adani Ports and Special Economic Zone Limited,783,1.3500000000000227,ADANIPORTS,64ce8de912b3542579deaf9b
230.25,Coal India Limited,230.4,0.15000000000000568,COALINDIA,64ce8de912b3542579deaf9c
4604.05,Britannia Industries Limited,4606.15,2.0999999999994543,BRITANNIA,64ce8de912b3542579deaf9d
800.8,JSW Steel Limited,800.5,0.2999999999999545,JSWSTEEL,64ce8dea12b3542579deaf9e
3845.65,"Divi's Laboratories Limited",3847,1.349999999999909,DIVISLAB,64ce8dea12b3542579deaf9f
1499.55,Mahindra & Mahindra Limited,1500,0.4500000000000455,M&M,64ce8dea12b3542579deafa0
455.05,Hindalco Industries Limited,455,0.05000000000001137,HINDALCO,64ce8deb12b3542579deafa1
2475.15,Adani Enterprises Limited,2477.05,1.900000000000091,ADANIENT,64ce8deb12b3542579deafa2